ref;speed;CSpeed;State0
1;1;1;1
2;1;1;1
3;2;2;1
4;2;2;1
5;2;2;1
6;2;2;1
7;3;3;1
8;3;3;1
9;3;3;1
10;4;4;1
11;4;4;1
12;4;4;1
13;4;4;1
14;4;4;1
15;4;4;1
16;4;4;1
17;4;4;1
18;4;4;1
19;4;4;1
20;4;4;1
21;4;4;1
22;4;4;1
23;4;4;1
24;4;4;1
25;4;4;1
26;4;4;1
27;4;4;1
28;4;4;1
29;4;4;1
30;4;4;1
31;5;5;1
32;4;4;1
33;3;3;1
34;2;2;1
35;3;3;1
36;3;3;1
37;3;3;1
38;3;3;1
39;3;3;1
40;3;3;1
41;4;4;1
42;4;4;1
43;5;5;1
44;5;5;1
45;5;5;1
46;4;4;1
47;4;4;1
48;5;5;1
49;4;4;1
50;5;5;1
51;5;5;1
52;4;4;1
53;4;4;1
54;5;5;1
55;6;6;1
56;5;5;1
57;4;4;1
58;5;5;1
59;6;6;1
60;4;4;1
61;3;3;1
62;2;2;1
63;2;2;1
64;1;2;1
65;1;2;1
66;1;2;1
67;1;2;1
68;1;2;1
69;1;2;1
70;1;2;1
71;1;2;1
72;1;2;1
73;1;2;1
74;1;2;1
75;1;2;1
76;1;2;1
77;1;2;1
78;1;2;1
79;4;4;1
80;4;4;1
81;2;2;1
82;1;2;1
83;1;2;1
84;0;2;1
85;0;2;1
86;0;2;1
87;2;2;1
88;2;2;1
89;1;2;1
90;1;2;1
91;1;2;1
92;1;2;1
93;1;2;1
94;1;2;1
95;1;2;1
96;2;2;1
97;1;2;1
98;1;2;1
99;1;2;1
100;1;2;1
101;1;2;1
102;1;2;1
103;2;2;1
104;1;2;1
105;1;2;1
106;1;2;1
107;1;2;1
108;1;2;1
109;0;2;1
110;1;2;1
111;0;2;1
112;0;2;1
113;0;2;1
114;0;2;1
115;0;2;1
116;0;2;1
117;0;2;1
118;0;2;1
119;0;2;1
120;0;2;1
121;0;2;1
122;1;2;1
123;1;2;1
124;1;2;1
125;0;2;1
126;1;2;1
127;2;2;1
128;1;2;1
129;1;2;1
130;2;2;1
131;2;2;1
132;1;2;1
133;1;2;1
134;1;2;1
135;1;2;1
136;1;2;1
137;1;2;1
138;1;2;1
139;1;2;1
140;1;2;1
141;1;2;1
142;1;2;1
143;1;2;1
144;1;2;1
145;1;2;1
146;1;2;1
147;1;2;1
148;1;2;1
149;1;2;1
150;0;2;1
151;1;2;1
152;1;2;1
153;1;2;1
154;1;2;1
155;1;2;1
156;1;2;1
157;1;2;1
158;1;2;1
159;1;2;1
160;1;2;1
161;1;2;1
162;2;2;1
163;1;2;1
164;2;2;1
165;1;2;1
166;2;2;1
167;2;2;1
168;2;2;1
169;2;2;1
170;2;2;1
171;2;2;1
172;2;2;1
173;3;3;1
174;3;3;1
175;3;3;1
176;3;3;1
177;3;3;1
178;3;3;1
179;3;3;1
180;3;3;1
181;3;3;1
182;3;3;1
183;3;3;1
184;3;3;1
185;2;2;1
186;3;3;1
187;3;3;1
188;3;3;1
189;3;3;1
190;3;3;1
191;3;3;1
192;4;4;1
193;3;3;1
194;3;3;1
195;4;4;1
196;3;3;1
197;4;4;1
198;4;4;1
199;4;4;1
200;4;4;1
201;4;4;1
202;4;4;1
203;4;4;1
204;5;5;1
205;5;5;1
206;5;5;1
207;5;5;1
208;5;5;1
209;5;5;1
210;4;4;1
211;4;4;1
212;4;4;1
213;4;4;1
214;3;3;1
215;3;3;1
216;3;3;1
217;4;4;1
218;4;4;1
219;4;4;1
220;4;4;1
221;4;4;1
222;4;4;1
223;4;4;1
224;4;4;1
225;4;4;1
226;4;4;1
227;4;4;1
228;4;4;1
229;3;3;1
230;4;4;1
231;3;3;1
232;3;3;1
233;2;2;1
234;2;2;1
235;1;2;1
236;1;2;1
237;1;2;1
238;1;2;1
239;1;2;1
240;3;3;1
241;2;2;1
242;2;2;1
243;3;3;1
244;3;3;1
245;3;3;1
246;4;4;1
247;4;4;1
248;4;4;1
249;5;5;1
250;5;5;1
251;5;5;1
252;5;5;1
253;5;5;1
254;4;4;1
255;3;3;1
256;3;3;1
257;3;3;1
258;3;3;1
259;3;3;1
260;3;3;1
