State;Duration;AvgSpeed;State_target
1;424;2.65;1
0;111;0.03;0
1;326;1.63;1
2;14;10.14;1
1;246;4.09;1
2;24;8.88;1
1;6;8;1
2;19;12.47;1
1;10;0.9;1
0;35;0;1
1;30;0.5;1
2;4;11.75;1
1;7;8.71;1
2;2;10.5;1
1;241;2.37;1
2;226;24.76;2
1;33;3.79;2
0;64;0;0
1;52;1.42;0
0;126;0.05;0
1;24;0.46;2
2;154;28.13;2
1;31;4.9;1
2;1;10;1
1;10;8.4;1
2;8;11.75;1
1;12;7.58;1
2;1;10;1
1;95;4.78;1
2;114;20.3;2
1;48;4.5;1
2;4;10;1
1;3;8.33;1
2;5;10.6;1
1;2;9;1
2;4;10;1
1;67;2.99;1
2;8;11.63;1
1;39;4.23;1
2;8;13;1
1;165;3.08;1
0;189;0;0
1;23;0.04;0
2;53;13.66;1
1;2;7.5;1
2;2;10;1
1;19;7.37;1
2;6;11;1
1;2;7.5;1
2;2;10;1
1;11;1.64;1
0;62;0.08;0
1;42;0.9;0
2;2;10;0
1;66;2.14;0
0;1;0;0
1;4;0;0
0;402;0;0
1;30;0.43;0
2;9;12.33;1
1;1;9;1
2;2;10;1
1;40;1.58;1
0;5;0;1
1;158;1.83;1
2;3;10;1
1;35;2.89;1
0;8;0.25;1
1;99;2.83;1
2;1;10;1
1;12;3.58;1
2;3;12.67;1
1;11;1.82;1
0;44;0.05;1
1;628;4.16;1
2;2;11;1
1;11;8.18;1
2;1;10;1
1;11;6.64;1
2;5;11.2;1
1;8;7.5;1
2;2;10;1
1;9;3.89;1
2;1;10;1
1;8;6.5;1
2;2;10.5;1
1;2;8.5;1
2;2;11;1
1;1362;3.86;1
2;4;11;1
1;1;9;1
2;3;10.33;1
1;129;5.05;1
2;92;10.47;1
1;3;9;1
2;5;10.2;1
1;22;7.45;1
2;39;10.13;1
1;15;7.6;1
2;4;10.5;1
1;15;7.13;1
2;135;10.87;1
1;6;7.67;1
2;2;10;1
1;1;9;1
2;3;10.67;1
1;1;9;1
2;3;10;1
1;2;9;1
2;289;10.61;1
1;16;4.69;1
2;75;10.48;1
1;1;9;1
2;51;9.73;1
1;46;3.76;1
0;3;0.33;1
1;45;0.84;1
2;60;11.4;1
1;22;8.36;1
2;4;10.5;1
1;4;8.5;1
2;2;10;1
1;29;7.03;1
2;11;10.18;1
1;28;3.25;1
0;105;0.11;0
1;18;0;2
2;171;28.12;2
1;11;1.73;0
0;392;0.04;0
1;23;0;0
2;180;28.87;2
1;623;3.46;1
2;2;10;1
1;6;8.5;1
2;2;10;1
1;26;7.81;1
2;92;10.89;1
1;1;9;1
2;2;10;1
1;1;9;1
2;4;10;1
1;306;6.32;1
2;3;10;1
1;28;7.25;1
2;9;10.67;1
1;13;6.62;1
2;11;11.27;1
1;184;4.06;1
2;12;12.5;1
1;2;8.5;1
2;9;12.22;1
1;232;4.06;1
2;1;11;1
1;89;6.92;1
2;5;10.2;1
1;42;7.24;1
2;1;10;1
1;33;7.06;1
2;19;10.05;1
1;4;8.5;1
2;84;11.3;1
1;7;8.86;1
2;2;10;1
1;19;4.79;1
2;34;10.59;1
1;2;9;1
2;153;13.18;1
1;187;4.08;1
2;9;11.78;1
1;27;4.44;1
2;4;10.5;1
1;56;2.27;1
2;6;12;1
1;62;4.24;1
2;6;11.33;1
1;1;8;1
2;1;10;1
1;81;4.9;1
2;1;10;1
1;24;4.46;1
2;3;10.33;1
1;9;8;1
2;4;11.25;1
1;539;3.76;1
2;1;10;1
1;47;7.57;1
2;3;11;1
1;6;8.17;1
2;2;10.5;1
1;1;9;1
2;5;11.4;1
1;1;8;1
2;1;10;1
1;42;3.79;1
2;3;11;1
1;1;9;1
2;6;10.17;1
1;34;4.24;1
2;7;10.43;1
1;1;8;1
2;3;11;1
1;15;5.47;1
2;2;10;1
1;11;1.91;1
0;77;0.04;0
1;89;4.29;1
2;1;10;1
1;6;8.17;1
2;2;10;1
1;6;8.67;1
2;3;9.33;1
1;20;8.9;1
2;5;10;1
1;40;4;1
2;17;15.12;1
1;60;2.13;1
0;16;0.25;1
1;188;2.5;1
0;491;0;0
1;344;0.24;1
2;77;9.57;1
1;6;7.67;1
2;23;9.3;1
1;3;9;1
2;2;10;1
1;1;9;1
2;3;10.33;1
1;1;9;1
2;3;10.33;1
1;3;9;1
2;1;10;1
1;39;7.67;1
2;1;10;1
1;1;9;1
2;7;10.29;1
1;257;4.84;1
2;119;21.34;2
1;22;2;2
0;1;1;0
1;1;0;0
0;122;0.09;0
1;13;0.23;0
2;171;26.96;2
1;9;1.22;2
0;491;0;0
1;42;0.95;0
0;637;0;0
1;24;0;0
2;128;24.84;2
1;12;2.58;2
0;407;0;0
1;29;0.24;0
2;216;21.84;2
1;10;3;2
2;4;10.25;2
1;1;9;2
2;4;10.5;2
1;17;3.24;1
2;1;10;1
1;100;5;1
2;42;10.62;1
1;13;2.77;1
0;144;0.09;0
1;35;1.49;1
2;16;11.5;1
1;12;5.83;1
2;6;10.83;1
1;2;9;1
2;3;10;1
1;22;8.45;1
2;8;10;1
1;2;9;1
2;6;10;1
1;91;4.8;1
2;70;10.07;1
1;2;9;1
2;2;10;1
1;1;9;1
2;4;9.25;1
1;6;8.5;1
2;1;10;1
1;1;9;1
2;5;10.2;1
1;41;6.8;1
2;8;10.63;1
1;1;9;1
2;4;10.25;1
1;92;5.71;1
2;4;10;1
1;74;8.16;1
2;9;11.33;1
1;104;4.06;1
2;1;10;1
1;4;8;1
2;1;10;1
1;4;7.5;1
2;1;10;1
1;382;3.9;1
2;10;10;1
1;90;4.62;1
0;3;0;1
1;130;4.57;1
2;114;10.71;1
1;38;7.5;1
2;1;10;1
1;3;8.33;1
2;94;10.36;1
1;1;9;1
2;2;10;1
1;57;4.19;1
0;46;0.24;1
1;114;2.34;1
2;12;11;1
1;58;4.97;1
2;84;9.68;1
1;6;8.33;1
2;1;10;1
1;12;8.67;1
2;5;10;1
1;1;9;1
2;1;10;1
1;46;4.78;1
2;11;10.82;1
1;1;9;1
2;1;10;1
1;1;9;1
2;1;10;1
1;1;9;1
2;10;11.6;1
1;14;3.57;1
2;1;10;1
1;1;9;1
2;176;11.58;1
1;1;9;1
2;2;10;1
1;12;4.33;1
2;103;12.22;1
1;106;5.87;1
2;6;10;1
1;15;4.67;1
2;7;14.57;1
1;18;5.33;1
2;3;10.67;1
1;13;2.54;1
2;2;10.5;1
1;22;8.27;1
2;1;12;1
1;22;3.86;1
0;122;0.02;0
1;30;0.47;0
0;239;0.15;0
1;5;0;0
0;6;0.17;0
1;13;0.77;0
0;60;0.18;0
1;44;0.86;0
0;78;0.09;0
1;62;1.77;1
2;8;10;1
1;27;7.78;1
2;2;10;1
1;1;9;1
2;9;11.56;1
1;35;4.43;1
2;101;21.18;2
1;11;1.73;2
0;245;0;0
1;27;0;0
2;284;21.54;2
1;2;8;2
2;8;19.5;2
1;46;1.72;1
2;109;12.48;1
1;51;5.88;1
2;2;11;1
