Times;Class_based_Speed;First_Classification;Snd_Classification;Heuristic_correction;States_REAL;States_Simio;Speed(km/h)
1;1;1;1;1;1;1;6
2;1;1;1;1;1;1;6
3;1;1;1;1;1;1;7
4;1;1;1;1;1;1;6
5;1;1;1;1;1;1;6
6;1;1;1;1;1;1;6
7;1;1;1;1;1;1;6
8;1;1;1;1;1;1;6
9;1;1;1;1;1;1;7
10;1;1;1;1;1;1;7
11;1;1;1;1;1;1;6
12;1;1;1;1;1;1;6
13;1;1;1;1;1;1;6
14;1;1;1;1;1;1;6
15;1;1;1;1;1;1;6
16;1;1;1;1;1;1;7
17;1;1;1;1;1;1;6
18;1;1;1;1;1;1;5
19;1;1;1;1;1;1;5
20;1;1;1;1;1;1;4
21;1;1;1;1;1;1;3
22;1;1;1;1;1;1;2
23;1;1;1;1;1;1;2
24;1;1;1;1;1;1;1
25;1;1;1;1;1;1;1
26;1;1;1;1;1;1;1
27;0;1;1;1;1;1;0
28;0;1;1;1;1;1;0
29;0;1;1;1;1;1;0
30;1;1;1;1;1;1;1
31;1;1;1;1;1;1;2
32;1;1;1;1;1;1;2
33;1;1;1;1;1;1;1
34;1;1;1;1;1;1;1
35;1;1;1;1;1;1;1
36;1;1;1;1;1;1;1
37;1;1;1;1;1;1;1
38;0;1;1;1;1;1;0
39;0;1;1;1;1;1;0
40;0;1;1;1;1;1;0
41;0;1;1;1;1;1;0
42;0;1;1;1;1;1;0
43;0;1;1;1;1;1;0
44;0;1;1;1;1;1;0
45;0;1;1;1;1;1;0
46;0;1;1;1;1;1;0
47;0;1;1;1;1;1;0
48;0;1;1;1;1;1;0
49;0;1;1;1;1;1;0
50;0;1;1;1;1;1;0
51;0;1;1;1;1;1;0
52;0;1;1;1;1;1;0
53;0;1;1;1;1;1;0
54;0;1;1;1;1;1;0
55;0;1;1;1;1;1;0
56;0;1;1;1;1;1;0
57;0;1;1;1;1;1;0
58;0;1;1;1;1;1;0
59;0;1;1;1;1;1;0
60;1;1;1;1;1;1;1
61;1;1;1;1;1;1;2
62;1;1;1;1;1;1;2
63;1;1;1;1;1;1;2
64;1;1;1;1;1;1;2
65;1;1;1;1;1;1;2
66;1;1;1;1;1;1;1
67;1;1;1;1;1;1;2
68;1;1;1;1;1;1;3
69;1;1;1;1;1;1;2
70;1;1;1;1;1;1;2
71;1;1;1;1;1;1;3
72;1;1;1;1;1;1;3
73;1;1;1;1;1;1;2
74;1;1;1;1;1;1;2
75;1;1;1;1;1;1;2
76;1;1;1;1;1;1;2
77;1;1;1;1;1;1;2
78;1;1;1;1;1;1;1
79;1;1;1;1;1;1;2
80;1;1;1;1;1;1;2
81;1;1;1;1;1;1;2
82;1;1;1;1;1;1;3
83;1;1;1;1;1;1;3
84;1;1;1;1;1;1;4
85;1;1;1;1;1;1;3
86;1;1;1;1;1;1;3
87;1;1;1;1;1;1;4
88;1;1;1;1;1;1;4
89;1;1;1;1;1;1;3
90;1;1;1;1;1;1;1
91;1;1;1;1;1;1;1
92;0;1;1;1;1;1;0
93;0;1;1;1;1;1;0
94;1;1;1;1;1;1;1
95;0;1;1;1;1;1;0
96;0;1;1;1;1;1;0
97;0;1;1;1;1;0;0
98;1;0;0;1;1;0;1
99;1;0;0;1;1;0;1
100;1;0;0;1;1;0;1
101;1;0;0;1;1;0;1
102;0;0;0;1;1;0;0
103;0;0;0;1;1;0;0
104;0;0;0;1;1;0;0
105;0;0;0;1;1;0;0
106;0;0;0;1;1;0;0
107;0;0;0;1;1;0;0
108;0;0;0;1;1;0;0
109;0;0;0;1;1;0;0
110;0;0;0;1;1;0;0
111;0;0;0;1;1;0;0
112;0;0;0;1;1;0;0
113;0;0;0;1;1;0;0
114;0;0;0;1;1;0;0
115;0;0;0;1;1;0;0
116;0;0;0;1;1;0;0
117;0;0;0;1;1;0;0
118;0;0;0;1;1;0;0
119;0;0;0;1;1;0;0
120;0;0;0;1;1;0;0
121;0;0;0;1;1;0;0
122;0;0;0;1;1;0;0
123;0;0;0;1;1;0;0
124;0;0;0;1;1;0;0
125;0;0;0;1;1;0;0
126;0;0;0;1;1;0;0
127;0;0;0;1;1;0;0
128;0;0;0;1;1;0;0
129;0;0;0;1;1;0;0
130;0;0;0;1;1;0;0
131;1;0;0;1;1;0;1
132;0;0;0;1;1;0;0
133;0;0;0;1;1;0;0
134;1;0;0;1;1;0;1
135;1;0;0;1;1;0;1
136;0;0;0;1;1;0;0
137;0;0;0;1;1;0;0
138;0;0;0;1;1;0;0
139;0;0;0;1;1;0;0
140;0;0;0;1;1;0;0
141;0;0;0;1;1;0;0
142;0;0;0;1;1;1;0
143;0;1;1;1;1;1;0
144;0;1;1;1;1;1;0
145;0;1;1;1;1;1;0
146;0;1;1;1;1;1;0
147;0;1;1;1;1;1;0
148;0;1;1;1;1;1;0
149;0;1;1;1;1;1;0
150;0;1;1;1;1;1;0
151;0;1;1;1;1;1;0
152;0;1;1;1;1;1;0
153;0;1;1;1;1;1;0
154;0;1;1;1;1;1;0
155;0;1;1;1;1;1;0
156;0;1;1;1;1;1;0
157;0;1;1;1;1;1;0
158;0;1;1;1;1;1;0
159;0;1;1;1;1;1;0
160;0;1;1;1;1;1;0
161;0;1;1;1;1;1;0
162;0;1;1;1;1;1;0
163;0;1;1;1;1;1;0
164;0;1;1;1;1;1;0
165;0;1;1;1;1;1;0
166;0;1;1;1;1;1;0
167;1;1;1;1;1;1;1
168;0;1;1;1;1;1;0
169;0;1;1;1;1;1;0
170;1;1;1;1;1;1;2
171;1;1;1;1;1;1;3
172;1;1;1;1;1;1;4
173;1;1;1;1;1;1;5
174;1;1;1;1;1;1;5
175;1;1;1;1;1;1;6
176;1;1;1;1;1;1;7
177;1;1;1;1;1;1;7
178;1;1;1;1;1;1;8
179;1;1;1;1;1;1;8
180;1;1;1;1;1;1;7
181;1;1;1;1;1;1;7
182;1;1;1;1;1;1;7
183;1;1;1;1;1;1;7
184;1;1;1;1;1;1;8
185;1;1;1;1;1;1;7
186;1;1;1;1;1;1;7
187;1;1;1;1;1;1;6
188;1;1;1;1;1;1;5
189;1;1;1;1;1;1;4
190;1;1;1;1;1;1;3
191;1;1;1;1;1;1;3
192;1;1;1;1;1;1;3
193;1;1;1;1;1;1;3
194;1;1;1;1;1;1;3
195;1;1;1;1;1;1;1
196;1;1;1;1;1;1;1
197;1;1;1;1;1;1;2
198;1;1;1;1;1;1;2
199;1;1;1;1;1;1;2
200;1;1;1;1;1;1;3
201;1;1;1;1;1;1;2
202;1;1;1;1;1;1;2
203;1;1;1;1;1;1;2
204;1;1;1;1;1;1;3
205;1;1;1;1;1;1;4
206;1;1;1;1;1;1;4
207;1;1;1;1;1;1;4
208;1;1;1;1;1;1;5
209;1;1;1;1;1;1;6
210;1;1;1;1;1;1;6
